nombre;biografia
Sara Solista; Cantautora emergente con letras profundas
Danza Urbana; Grupo de baile contemporáneo con estilo único
Visiones del Lente; Equipo de fotógrafos y videógrafos creativos
Marta Mentor; Consultora de desarrollo personal y profesional
Escultores del Silencio; Colectivo de escultores minimalistas
Ritmo y Melodía; Dúo musical con fusiones de jazz y soul
El Telón Abierto; Compañía de teatro experimental
Pantalla en Blanco; Productora de cine independiente
Carlos Conferencias; Orador motivacional y experto en liderazgo
Colores de la Vida; Pintores impresionistas con enfoque en la naturaleza
Sonido Ancestral; Banda de música folclórica con instrumentos autóctonos
Actuación Pura; Grupo de teatro físico y clown
La Lupa Creativa; Estudio de animación y efectos visuales
Desarrollo Integral; Coach y facilitador de talleres de crecimiento personal
Formas en Movimiento; Escultores cinéticos con obras interactivas
Armonía Vocal; Coro polifónico con repertorio clásico y moderno
Teatro de Sombras; Compañía de teatro visual con proyecciones y sombras
El Séptimo Arte; Distribuidora de cine de autor
Liderazgo Innovador; Consultor en innovación y transformación digital
Lienzos del Alma; Pintores abstractos con enfoque en la expresión emocional
La Voz del Pueblo; Cantautores de protesta con letras comprometidas
Actuación en Vivo; Grupo de teatro de improvisación
Pixel Perfecto; Estudio de diseño gráfico y web
Potencial Humano; Psicólogo y terapeuta con enfoque holístico
Arcilla y Fuego; Ceramistas y escultores con técnicas ancestrales
Cuerdas y Voces; Trío acústico con versiones de clásicos del rock
Teatro Itinerante; Compañía de teatro callejero y de títeres
Filmaciones Aéreas; Especialistas en fotografía y video con drones
Éxito Empresarial; Asesor de negocios y mentor de startups
Muralistas Urbanos; Artistas de graffiti y muralismo con mensajes sociales
La Nueva Ola; Banda de rock alternativo con sonido fresco y original
Teatro Gestual; Compañía de teatro con enfoque en el lenguaje corporal
Edición Digital; Estudio de postproducción de video y audio
Bienestar Integral; Nutricionista y entrenador personal con enfoque holístico
Madera y Metal; Escultores con técnicas de talla en madera y forja
Melodías del Mundo; Grupo de música fusión con ritmos y sonidos de diferentes culturas
Teatro para Niños; Compañía de teatro infantil y juvenil
Realidad Virtual; Desarrolladores de experiencias inmersivas con realidad virtual
Inteligencia Emocional; Coach y facilitador de talleres de inteligencia emocional
Arte Efímero; Artistas que trabajan con materiales reciclados y naturales
La Banda Sonora; Grupo de música instrumental con composiciones originales
Teatro Musical; Compañía de teatro con espectáculos de musicales y cabaret
Animación 3D; Estudio de animación con personajes y mundos en 3D
Comunicación Efectiva; Consultor en comunicación y oratoria
Piedra y Bronce; Escultores con técnicas de talla en piedra y fundición en bronce
Voces del Sur; Coro de música popular latinoamericana
Teatro de Objetos; Compañía de teatro con manipulación de objetos y marionetas
Producción Audiovisual; Productora de cine y televisión con enfoque en documentales
Gestión del Cambio; Consultor en gestión del cambio y transformación organizacional
Arte Textil; Artistas que trabajan con tejidos y fibras naturales
La Orquesta Sinfónica; Orquesta con repertorio de música clásica y contemporánea
Teatro del Absurdo; Compañía de teatro con obras de vanguardia y experimentales
Diseño de Sonido; Estudio de diseño de sonido para cine televisión y videojuegos
Mindfulness y Meditación; Instructor de mindfulness y meditación con enfoque en la reducción del estrés
Arte en la Naturaleza; Artistas que crean instalaciones y esculturas en entornos naturales
El Quinteto de Jazz; Agrupación de jazz con improvisación y composiciones originales
Teatro de Calle; Compañía de teatro con espectáculos en espacios públicos
Efectos Especiales; Especialistas en efectos especiales para cine y televisión
Desarrollo de Equipos; Consultor en desarrollo de equipos de alto rendimiento
Arte con Luz; Artistas que trabajan con instalaciones de luz y proyecciones
